timestamp	stage	record	error
2026-04-30T16:20:37+00:00	search	"""CD22"" ""antibody drug conjugate"" page=0"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:38+00:00	search	"""CD22"" ""antibody drug conjugate"" page=1"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:38+00:00	search	"""CD22"" ""antibody drug conjugate"" page=2"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:38+00:00	search	"""CD22"" ""antibody drug conjugate"" page=3"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:39+00:00	search	"""CD22"" ""antibody drug conjugate"" page=4"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:39+00:00	search	"""CD22"" ADC page=0"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:39+00:00	search	"""CD22"" ADC page=1"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:40+00:00	search	"""CD22"" ADC page=2"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:40+00:00	search	"""CD22"" ADC page=3"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:41+00:00	search	"""CD22"" ADC page=4"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:41+00:00	search	"""CD79b"" ""antibody drug conjugate"" page=0"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:41+00:00	search	"""CD79b"" ""antibody drug conjugate"" page=1"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:42+00:00	search	"""CD79b"" ""antibody drug conjugate"" page=2"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:42+00:00	search	"""CD79b"" ""antibody drug conjugate"" page=3"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:42+00:00	search	"""CD79b"" ""antibody drug conjugate"" page=4"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:43+00:00	search	"""CD79b"" ADC page=0"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:43+00:00	search	"""CD79b"" ADC page=1"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:44+00:00	search	"""CD79b"" ADC page=2"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:44+00:00	search	"""CD79b"" ADC page=3"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:44+00:00	search	"""CD79b"" ADC page=4"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:45+00:00	search	"""Tissue factor"" ""antibody drug conjugate"" page=0"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:45+00:00	search	"""Tissue factor"" ""antibody drug conjugate"" page=1"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:46+00:00	search	"""Tissue factor"" ""antibody drug conjugate"" page=2"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:46+00:00	search	"""Tissue factor"" ""antibody drug conjugate"" page=3"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:46+00:00	search	"""Tissue factor"" ""antibody drug conjugate"" page=4"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:47+00:00	search	"""Tissue factor"" ADC page=0"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:47+00:00	search	"""Tissue factor"" ADC page=1"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:48+00:00	search	"""Tissue factor"" ADC page=2"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:48+00:00	search	"""Tissue factor"" ADC page=3"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:48+00:00	search	"""Tissue factor"" ADC page=4"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:49+00:00	search	"""CLDN18.2"" ""antibody drug conjugate"" page=0"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:49+00:00	search	"""CLDN18.2"" ""antibody drug conjugate"" page=1"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:50+00:00	search	"""CLDN18.2"" ""antibody drug conjugate"" page=2"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:50+00:00	search	"""CLDN18.2"" ""antibody drug conjugate"" page=3"	<HTTPError 503: 'Service Unavailable'>
